"subject"	"birthdate"	"deathdate"	"lifespan"	"species"	"sex"	"housing"	"event"	"max_bw"	"experimental"	"source"
"114061"	2014-08-04	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"771854"	2014-08-16	NA	0.369741454864154	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"814310"	2014-03-28	2014-03-28	0	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"814310"	2014-03-28	2014-03-28	0	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"814310"	2014-03-28	2014-03-28	0	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"614076"	2014-03-12	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"47114"	2014-01-10	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M14009"	2014-03-10	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M14028"	2014-04-17	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"140547"	2014-08-07	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"140601"	2014-09-03	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"3997"	2014-11-19	2014-11-23	0.0109553023663453	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"3997"	2014-11-19	2014-11-23	0.0109553023663453	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"3997"	2014-11-19	2014-11-23	0.0109553023663453	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"65805"	2014-12-16	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"65609"	2014-01-05	2014-01-05	0	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"65609"	2014-01-05	2014-01-05	0	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"65609"	2014-01-05	2014-01-05	0	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"GOC19"	2014-03-15	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"514219"	2014-12-26	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"Z14532"	2014-12-09	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"12102"	2014-03-07	2014-03-12	0.0136941279579316	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"12102"	2014-03-07	2014-03-12	0.0136941279579316	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"12102"	2014-03-07	2014-03-12	0.0136941279579316	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"G01332"	2014-12-10	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"M14686"	2014-06-02	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"5877"	2014-11-24	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"5848"	2014-03-19	2014-04-16	0.0766871165644172	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"5848"	2014-03-19	2014-04-16	0.0766871165644172	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"5848"	2014-03-19	2014-04-16	0.0766871165644172	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"B40360"	2014-10-28	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"10015"	2014-03-30	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"3109"	2014-05-21	2014-11-16	0.490249780893953	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"3109"	2014-05-21	2014-11-16	0.490249780893953	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"3109"	2014-05-21	2014-11-16	0.490249780893953	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"12640"	2014-12-02	2014-12-02	0	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"12640"	2014-12-02	2014-12-02	0	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"12640"	2014-12-02	2014-12-02	0	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"M10227"	2014-03-11	NA	0	"Western Lowland Gorilla"	"Female"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"9964"	2014-12-26	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"MM0682"	2014-08-05	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"MM0688"	2014-09-10	NA	0	"Western Lowland Gorilla"	"Male"	NA	0	NA	"NO"	"STUD_BOOOK_2014"
"G7"	1979-07-08	2014-10-03	35.2514241893076	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"G7"	1979-07-08	2014-10-03	35.2514241893076	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"3100"	1981-03-23	2014-11-18	33.6683829973707	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"3100"	1981-03-23	2014-11-18	33.6683829973707	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"9"	1981-07-11	2014-11-09	33.342462751972	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"9"	1981-07-11	2014-11-09	33.342462751972	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"3102"	1982-04-17	2014-11-03	32.5591586327783	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"3102"	1982-04-17	2014-11-03	32.5591586327783	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"H86004"	1986-07-13	2014-06-03	27.9004163014899	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"305"	1989-03-14	2014-05-24	25.2026730937774	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"305"	1989-03-14	2014-05-24	25.2026730937774	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"8"	1989-08-30	2014-10-31	25.1780236634531	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"8"	1989-08-30	2014-10-31	25.1780236634531	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"961219"	1996-11-07	2014-11-23	18.0488606485539	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"961219"	1996-11-07	2014-11-23	18.0488606485539	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"M01644"	1998-04-09	2014-06-05	16.1618098159509	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"M01644"	1998-04-09	2014-06-05	16.1618098159509	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"113028"	2013-07-17	2014-11-07	1.30915863277826	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"113028"	2013-07-17	2014-11-07	1.30915863277826	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"44792"	2013-10-12	2014-04-27	0.539548641542507	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"44792"	2013-10-12	2014-04-27	0.539548641542507	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"M10186"	2013-12-02	2014-06-13	0.528593339176161	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"M10186"	2013-12-02	2014-06-13	0.528593339176161	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"814310"	2014-03-28	2014-03-28	0	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"814310"	2014-03-28	2014-03-28	0	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"814310"	2014-03-28	2014-03-28	0	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"3997"	2014-11-19	2014-11-23	0.0109553023663453	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"3997"	2014-11-19	2014-11-23	0.0109553023663453	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"3997"	2014-11-19	2014-11-23	0.0109553023663453	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"65609"	2014-01-05	2014-01-05	0	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"65609"	2014-01-05	2014-01-05	0	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"65609"	2014-01-05	2014-01-05	0	"Western Lowland Gorilla"	"Male"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"12102"	2014-03-07	2014-03-12	0.0136941279579316	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
"12102"	2014-03-07	2014-03-12	0.0136941279579316	"Western Lowland Gorilla"	"Female"	NA	1	NA	"NO"	"STUD_BOOOK_2014"
